EJS_SiteCode	EJS_UniqueFieldID	YrVisit	GridRef_OSGB36	X	Y
S39	S39_F7	2015_Visit3	NH95752352	295750	823520
S30	S30_F6	2015_Visit2	NH99542202	299540	822020
S30	S30_F9	2015_Visit2	NH99372188	299370	821880
S16	S16_F10	2015_Visit3	NH80260376	280260	803760
S16	S16_F10	2015_Visit3	NH80160375	280160	803750
S33	S33_F6	2015_Visit2	NJ08102070	308100	820700
S10	S10_F4	2005_Visit1	NN72099893	272090	798930
S6B	S6B_F3	2015_Visit3	NH80530388	280530	803880
S16	S16_F4	2015_Visit3	NH99772219	299770	822190
S30	S30_F5	2015_Visit3	NH80590391	280590	803910
S16	S16_F4	2015_Visit3	NN67098949	267090	789490
S45	S45_F5	2015_Visit2	NN67298967	267290	789670
S45	S45_F5	2015_Visit2	NH97582644	297580	826440
S41	S41_F1	2000_Visit1	NJ08342063	308340	820630
S33	S33_F4	2015_Visit3	NH80570384	280570	803840
S16	S16_F4	2015_Visit3	NH80190367	280190	803670
S16	S16_F10	2015_Visit3	NH80280382	280280	803820
S16	S16_F10	2015_Visit3	NH80530396	280530	803960
S16	S16_F4	2015_Visit3	NN65488702	265480	787020
S45	S45_F4	2015_Visit3	NJ07422095	307420	820950
S33	S33_F14	2015_Visit2	NJ08232065	308230	820650
S33	S33_F5	2015_Visit2	NJ08212070	308210	820700
S33	S33_F6	2015_Visit2	NN67188967	267180	789670
S45	S45_F5	2015_Visit2	NH80730403	280730	804030
S16	S16_F4	2015_Visit3	NN65378706	265370	787060
S45	S45_F4	2015_Visit3	NH99502203	299500	822030
S30	S30_F6	2015_Visit3	NH99652180	299650	821800
S30	S30_F7	2015_Visit3	NH85682016	285680	820160
S47	S47_F2	2015_Visit2	NN71849868	271840	798680
S10	S10_F5	2005_Visit1	NN64079323	264070	793230
S5	S5_F6	2015_Visit3	NN70399798	270390	797980
S6A	S6A_F12	2015_Visit3	NN69509721	269500	797210
S6B	S6B_F3	2015_Visit3	NH86260910	286260	809100
S19	S19_F3	2015_Visit1	NJ08242050	308240	820500
S33	S33_F4	2015_Visit3	NJ04782138	304780	821380
S33	S33_F41	2015_Visit3	NH97722637	297720	826370
S41	S41_F1	2000_Visit1	NJ00462354	300460	823540
S32	S32_F8	2015_Visit1	NJ01052410	301050	824100
S32	S32_F4	2015_Visit1	NJ00132342	300130	823420
S32	S32_F9	2015_Visit2	NJ06532837	306530	828370
S36A	S36A_F6	2015_Visit2	NH96702068	296700	820680
S26	S26_F18	2015_Visit3	NH98182170	298180	821700
S27	S27_F3	2015_Visit2	NH98482183	298480	821830
S29	S29_F13	2015_Visit1	NH98892148	298890	821480
S29	S29_F18	2015_Visit2	NH99572183	299570	821830
S30	S30_F7	2015_Visit1	NH97632626	297630	826260
S41	S41_F1	2000_Visit1	NH75420024	275420	800240
S14	S14_F2	2015_Visit1	NN73939990	273930	799900
S14	S14_F7	2015_Visit3	NN83859941	283850	799410
S17B	S17B_F2	2015_Visit1	NH88921019	288920	810190
S22C	S22C_F10	2015_Visit1	NH92971971	292970	819710
S25	S25_F5	2015_Visit2	NH92421921	292420	819210
S25	S25_F10	2015_Visit2	NN64978684	264970	786840
S45	S45_F2	2005_Visit2	NN65418739	265410	787390
S45	S45_F2	2005_Visit2	NN65818769	265810	787690
S45	S45_F2	2005_Visit2	NN65558751	265550	787510
S45	S45_F2	2005_Visit2	NN65688771	265680	787710
S45	S45_F2	2005_Visit2	NN65868780	265860	787800
S45	S45_F2	2005_Visit2	NJ04682170	304680	821700
S33	S33_F42	2015_Visit1	NJ07732086	307730	820860
S33	S33_F4	2015_Visit1	NJ04712166	304710	821660
S33	S33_F42	2015_Visit2	NH96582455	296580	824550
S37	S37_F7	2015_Visit1	NH96672456	296670	824560
S37	S37_F7	2015_Visit1	NH97592620	297590	826200
S41	S41_F1	2000_Visit1	NH97692634	297690	826340
S41	S41_F1	2000_Visit2	NN65958786	265950	787860
S45	S45_F2	2005_Visit2	NN66598858	266590	788580
S45	S45_F5	2010_Visit2	NN66178821	266170	788210
S45	S45_F5	2010_Visit2	NH97672646	297670	826460
S41	S41_F1	2000_Visit2	NH97722633	297720	826330
S41	S41_F1	2000_Visit2	NH97772637	297770	826370
S41	S41_F1	2005_Visit3	NH97672643	297670	826430
S41	S41_F1	2000_Visit1	NN73789944	273780	799440
S11	S11_F11	2015_Visit2	NN65519418	265510	794180
S3	S3_F13	2010_Visit1	NJ04721778	304720	817780
S34	S34_F55	2010_Visit3	NJ04291760	304290	817600
S34	S34_F55	2010_Visit3	NJ04251755	304250	817550
S34	S34_F55	2010_Visit3	NJ04791781	304790	817810
S34	S34_F55	2010_Visit3	NJ04771777	304770	817770
S34	S34_F55	2010_Visit3	NJ04891776	304890	817760
S34	S34_F55	2010_Visit3	NJ08562036	308560	820360
S33	S33_F1	2005_Visit3	NJ06862114	306860	821140
S33	S33_F11	2005_Visit1	NJ06902118	306900	821180
S33	S33_F11	2005_Visit1	NJ07362075	307360	820750
S33	S33_F12	2005_Visit1	NJ07292082	307290	820820
S33	S33_F12	2005_Visit3	NJ07152079	307150	820790
S33	S33_F12	2005_Visit3	NJ07372074	307370	820740
S33	S33_F12	2005_Visit3	NJ06562128	306560	821280
S33	S33_F13	2005_Visit3	NJ05972126	305970	821260
S33	S33_F18	2005_Visit1	NJ05282111	305280	821110
S33	S33_F18	2005_Visit2	NJ05462129	305460	821290
S33	S33_F18	2005_Visit3	NJ05512126	305510	821260
S33	S33_F18	2005_Visit3	NJ04232020	304230	820200
S33	S33_F22	2005_Visit1	NJ03592033	303590	820330
S33	S33_F26	2005_Visit3	NJ07712088	307710	820880
S33	S33_F8	2005_Visit2	NJ07092018	307090	820180
S33	S33_F17	2005_Visit3	NJ07052012	307050	820120
S33	S33_F17	2005_Visit3	NJ06532149	306530	821490
S33	S33_F16	2000_Visit1	NJ06112106	306110	821060
S33	S33_F21	2000_Visit1	NJ07112008	307110	820080
S33	S33_F25	2000_Visit1	NJ05242057	305240	820570
S33	S33_F25	2000_Visit1	NJ05242065	305240	820650
S33	S33_F29a	2000_Visit1	NJ08322061	308320	820610
S33	S33_F29a	2000_Visit2	NJ08302058	308300	820580
S33	S33_F3	2005_Visit3	NJ04962167	304960	821670
S33	S33_F3	2005_Visit3	NJ04211996	304210	819960
S33	S33_F31	2000_Visit1	NJ08252069	308250	820690
S33	S33_F38	2000_Visit1	NJ08092064	308090	820640
S33	S33_F4	2005_Visit1	NJ08122070	308120	820700
S33	S33_F5	2000_Visit1	NJ08092068	308090	820680
S33	S33_F5	2000_Visit2	NJ07602079	307600	820790
S33	S33_F5	2000_Visit2	NJ07722074	307720	820740
S33	S33_F9	2000_Visit2	NJ07732080	307730	820800
S33	S33_F8	2000_Visit2	NJ07672078	307670	820780
S33	S33_F8	2000_Visit2	NJ07762096	307760	820960
S33	S33_F8	2000_Visit2	NJ07802074	307800	820740
S33	S33_F8	2000_Visit2	NJ07772081	307770	820810
S33	S33_F7	2000_Visit2	NJ07812086	307810	820860
S33	S33_F7	2000_Visit2	NJ07772073	307770	820730
S33	S33_F7	2000_Visit2	NJ07982066	307980	820660
S33	S33_F7	2000_Visit2	NH72170011	272170	800110
S33	S33_F6	2000_Visit2	NH72200005	272200	800050
S8	S8_F1	2000_Visit2	NH72200010	272200	800100
S8	S8_F1	2000_Visit2	NH72160002	272160	800020
S8	S8_F1	2000_Visit2	NH71190020	271190	800200
S8	S8_F1	2000_Visit2	NN71999984	271990	799840
S8	S8_F10	2005_Visit3	NH72090002	272090	800020
S8	S8_F2	2000_Visit1	NN72029993	272020	799930
S8	S8_F2	2000_Visit1	NJ04451783	304450	817830
S8	S8_F2	2000_Visit1	NJ04832181	304830	821810
S34	S34_F24	2000_Visit3	NJ04212014	304210	820140
S33	S33_F40	2015_VisitOUT OF SEASON	NJ04241994	304240	819940
S33	S33_F34b	2015_VisitOUT OF SEASON	NJ00802429	300800	824290
S33	S33_F47	2015_VisitOUT OF SEASON	NJ00722434	300720	824340
S42	S42_F10	2005_Visit1	NJ00792424	300790	824240
S42	S42_F10	2005_Visit1	NJ01112495	301110	824950
S42	S42_F10	2005_Visit1	NJ01082492	301080	824920
S42	S42_F7	2005_Visit1	NJ01112487	301110	824870
S42	S42_F7	2005_Visit1	NJ01182486	301180	824860
S42	S42_F7	2005_Visit1	NJ01142487	301140	824870
S42	S42_F7	2005_Visit1	NJ01062489	301060	824890
S42	S42_F7	2005_Visit1	NJ01072499	301070	824990
S42	S42_F7	2005_Visit1	NJ01132496	301130	824960
S42	S42_F7	2005_Visit1	NJ01182489	301180	824890
S42	S42_F7	2005_Visit2	NJ01132491	301130	824910
S42	S42_F7	2005_Visit2	NJ01102491	301100	824910
S42	S42_F7	2005_Visit2	NN67879942	267870	799420
S42	S42_F7	2005_Visit2	NN67929938	267920	799380
S7	S7_F5	2000_Visit2	NN68569954	268560	799540
S7	S7_F5	2000_Visit2	NH98772178	298770	821780
S7	S7_F4	2000_Visit3	NJ00132180	300130	821800
S29	S29_F9	2000_Visit2	NJ00432259	300430	822590
S31	S31_F6	2000_Visit2	NJ00532267	300530	822670
S31	S31_F4	2000_Visit2	NN56169348	256160	793480
S31	S31_F4	2000_Visit2	NN56099308	256090	793080
S1	S1_F2	2005_Visit1	NN56319309	256310	793090
S1	S1_F4	2005_Visit2	NN56379301	256370	793010
S1	S1_F5	2005_Visit2	NH70940007	270940	800070
S1	S1_F5	2005_Visit2	NH71090004	271090	800040
S8	S8_F8	2005_Visit1	NN71109999	271100	799990
S8	S8_F8	2005_Visit1	NN71069997	271060	799970
S8	S8_F8	2005_Visit1	NH71240012	271240	800120
S8	S8_F8	2005_Visit1	NN71249995	271240	799950
S8	S8_F8	2005_Visit1	NH71060002	271060	800020
S8	S8_F8	2005_Visit1	NH71040008	271040	800080
S8	S8_F8	2005_Visit2	NH71060002	271060	800020
S8	S8_F8	2005_Visit3	NH71160010	271160	800100
S8	S8_F8	2005_Visit3	NN71959873	271950	798730
S8	S8_F8	2005_Visit1	NN71959862	271950	798620
S10	S10_F5	2005_Visit1	NN72029869	272020	798690
S10	S10_F5	2005_Visit1	NN71599838	271590	798380
S10	S10_F5	2005_Visit1	NN71789838	271780	798380
S10	S10_F6	2005_Visit1	NN71689839	271680	798390
S10	S10_F6	2005_Visit1	NN71789826	271780	798260
S10	S10_F6	2005_Visit1	NN71709827	271700	798270
S10	S10_F7	2005_Visit1	NN71849891	271840	798910
S10	S10_F7	2005_Visit1	NN71859883	271850	798830
S10	S10_F9	2005_Visit2	NN71809860	271800	798600
S10	S10_F9	2005_Visit2	NN71929866	271920	798660
S10	S10_F5	2005_Visit2	NN72279912	272270	799120
S10	S10_F5	2005_Visit2	NN72289900	272280	799000
S10	S10_F3	2005_Visit2	NN72329913	272320	799130
S10	S10_F3	2005_Visit2	NN72339905	272330	799050
S10	S10_F3	2005_Visit2	NN72099885	272090	798850
